iteration_start,iteration_end,samples,success_rate,placement_success_ema,box_goal_distance,mean_action_std,curriculum_level
8500,8599,100,0.5332,0.5255,0.0465,1.448,1.143
8600,8699,100,0.4950,0.4995,0.0474,1.482,1.352
8700,8799,100,0.4856,0.4838,0.0473,1.514,1.308
8800,8899,100,0.4989,0.5004,0.0465,1.549,1.253
8900,8999,100,0.4957,0.4996,0.0460,1.583,1.290
9000,9099,100,0.4967,0.4940,0.0466,1.611,1.264
9100,9199,100,0.4940,0.5005,0.0466,1.640,1.297
9200,9299,100,0.4986,0.4951,0.0464,1.670,1.247
9300,9399,100,0.4645,0.4743,0.0496,1.699,1.169
9400,9499,100,0.4742,0.4703,0.0492,1.733,1.025
9500,9599,100,0.4984,0.4962,0.0468,1.765,1.157
9600,9699,100,0.4887,0.4985,0.0480,1.795,1.228
9700,9799,100,0.4907,0.4906,0.0474,1.826,1.301
9800,9899,100,0.4930,0.4982,0.0481,1.854,1.326
9900,9999,100,0.5052,0.5067,0.0467,1.881,1.332
10000,10099,100,0.4950,0.4919,0.0476,1.910,1.312
10100,10199,100,0.4775,0.4702,0.0480,1.941,1.197
10200,10299,100,0.4786,0.4717,0.0482,1.970,1.082
10300,10399,100,0.4617,0.4525,0.0441,1.998,0.921
10400,10495,96,0.2262,0.2271,0.0412,2.031,0.475
